,text,option_1,option_2,option_3,option_4,N,Type,Order,Keywords,scores,idx
q82528,"If you had your own private hot tub, would you go nude in it?","Yes, always.","Yes, but only when alone or with someone special.","Yes, but only when alone.","No, never.",27318,O,,descriptive,2,466
q79635,How would you feel if someone called you 'good girl' or 'good boy' during sex?,Positive.,Negative.,Indifferent.,It would depend on which of the two I was called.,23812,O,"2, (3, 4), 1",sex/intimacy,2,467
q75677,Which of the following character flaws would you be LEAST tolerant of in a potential partner?,Moodiness.,Dependency.,Jealousy.,Apathy.,28404,N,,descriptive; preference,4,468
q71315,Do you like to leave music on while you sleep?,Yes.  I can't sleep without it.,"Yes, but I don't need it to fall asleep.","No, but I can deal with it if my partner does.",No.  I can't sleep with music on.,26815,O,,descriptive,2,469
q70302,"Of the following, which do you spend the most time doing while taking a bath or shower?",Washing and/or conditioning.,Shaving.,Relaxing.,Masturbating.,24254,N,,descriptive,1,470
q15752,How important is voting to you?,Extremely important,Very important,Not so important,Not at all important,31818,O,,politics,4,471
q15743,How do you feel about people with past addictions?,Completely uninterested,Extremely hesitant,A little hesitant,Totally fine,25710,O,,preference,3,472
q36666,"Of these four educational subject areas, which is your favorite?",Language,Mathematics,Science,History,23021,N,,descriptive; cognitive,3,473
q36045,Are you ready to settle down and get married right now?,Absolutely.,No way.,"Get married yes, settle down no.","Get married no, settle down yes.",35186,O,"2, (3, 4), 1",descriptive,3,474
q35955,How would you feel if your significant other made more money than you?,Very comfortable,Somewhat comfortable,Somewhat uncomfortable,Very uncomfortable,24997,O,,descriptive,4,475
q35862,"When you are sleeping, do you prefer:",A cold room,A cool room,A warm room,A hot room,29945,O,,preference,2,476
q35660,How often are you open with your feelings?,Always,Usually,Rarely,Never,49489,O,,descriptive,3,477
q35520,"Does netspeak (e.g., afk, brb, How RU?, lol, rotfl, ttyl, etc.) bother you?",Yes.,No.,Some of the time - It depends.,I don't know.,25830,O,"2, (3, 4), 1",descriptive,2,478
q35475,"When in a relationship, what importance do you place upon celebrating weekly or monthly anniversaries?",High.,Moderate.,Low.,None.,28563,O,,preference,2,479
q35415,"How would you feel if a significant other forgot your birthday, nameday, anniversary, or something else similarly important to you?",Indifferent.,Disappointed.,Annoyed.,Angry.,23380,N,,descriptive,4,480
q34113,"How do you feel about government-subsidized food programs (free lunch, food stamps, etc.)?",No problem,"It's okay, if it is not abused",Okay for short amounts of time,Never - Get a job,31769,O,,politics,4,481
q23293,"If you had to pick one of the following types of people for a significant other, which would it be?",Wholesome,A little on the slutty side,Crazy and colorful,Dark and mysterious,30939,N,,preference,2,482
q86909,Are you generally able to forgive and forget?,Yes.,No.,It really depends on the circumstances.,"I can forgive, but I never forget.",28762,O,"2, (3, 4), 1",descriptive,3,483
q86417,How long can you go without sexual release?,A day or less.,"More than a day, less than a week.",More than a week.,I have never had sexual release.,28829,O,,sex/intimacy; descriptive,1,484
q85823,How much would you dress up for a first date with someone you met on OkCupid?,I'd go all out.,I'd try to look nice.,I wouldn't wear anything special.,"It would vary, depending upon their profile.",25050,M,[4],descriptive,2,485
q13032,Would you ever consider dating a Catholic?,Yes,"Hesistant, but willing",No,Only if he/she was non-practicing,25643,O,"3, 4, 2, 1",religion/superstition; preference,3,486
q12970,How often do you brush your teeth?,Twice or more a day,Once a day,Only on days I feel like it,Rarely / never,47673,O,,descriptive,3,487
q12605,"Once you're intimate, how often would you and your significant other have sex?",Every day,About every other day,Once or twice a week,A few times a month or less,46098,O,,sex/intimacy,2,488
q12503,"How often should your significant other buy you gifts, jewelry, or other things more expensive than, say, dinner, cards, or flowers?",Very frequently.,From time to time.,"On special occasions (birthdays, Christmas, etc.).",Never.,27820,O,,preference,2,489
q1401,Have you ever had a sexual encounter with someone of the same sex?,"Yes, and I enjoyed myself.","Yes, and I did not enjoy myself.","No, and I would never.","No, but I would like to.",41622,O,"3, 4, 2, 1",sex/intimacy; descriptive,2,490
q1185,"In a serious relationship, do you feel it's important to keep your significant other informed of the details of your day-to-day life?",Yes,No,Some,I don't do serious relationships,36121,M,"2, 3, 1, [4]",sex/intimacy; preference; opinion,3,491
q1062,How frequently do you bathe or shower?,At least once a day.,Usually daily.  I skip some.,A couple times a week.,Once a week or less.,41649,O,,descriptive,2,492
q321556,How often do you masturbate?,Once a day or more,A few times a week,A few times a month,A few times a year or less,28276,O,,sex/intimacy,2,493
q221106,How often do you tweet?,All the time,Sometimes,Rarely,Never,42923,O,,descriptive; technology,2,494
q221105,How often do you use Facebook?,I'm a very active user.,I'm a somewhat active user.,I rarely use it.,I never use it.,45978,O,,descriptive; technology,3,495
q212814,How important are your political beliefs to you?,Very important,Somewhat important,A little important,Not at all important,44143,O,,descriptive,4,496
q212813,Which best describes your political beliefs?,Liberal / Left-wing,Centrist,Conservative / Right-wing,Other,45107,M,[4],politics; descriptive,5,497
q8155,"On average, which best describes how often you GET WICKED DRUNK?",Twice a week or more,Weekly / Bi-Weekly,Once every month or three.,Seldom or never.,38298,O,,descriptive,4,498
q7239,What is the worst personality trait someone can have?,Arrogance,Being boring,Immaturity,No sense of humor,25390,N,,opinion,3,499
q6722,Which best describes your personal feelings about sports?,Sports are a very important part of my life.,I play or watch sports often.,I play or watch sports occasionally.,I don't watch or play sports.,28517,M,[1],preference; descriptive,3,500
q6350,How would you describe your body?,Slender,Average,Athletic,Voluptuous,30529,N,,descriptive,3,501
q23147,Imagine you're having the perfect conversation with your ideal partner.  What are you doing?,Telling stories,Debating,Agreeing,Making plans,29873,N,,preference,2,502
q23132,Do you like to play drinking games?,"Yes, they're totally sweet!","No, I think they're cheesy/lame","Not really, but I will on occasion","No, I don't drink",28277,M,"2, 3, 1, [4]",preference,2,503
q23120,Which is most important to you in determining attractiveness?,Chest/Breasts,Butt/Legs,Face/Smile,Other,23911,N,,preference,2,504
q22534,Would you ideally like to be married within the next 3 years?,Yes,No,Possibly,I'm already married,24139,M,"2, 3, 1, [4]",preference,4,505
q22496,Board games?,What are board games?,"I love boardgames, let's go play.","Boardgames are okay, I guess.",I'd rather do something else.,23647,O,"2, 3, 4, 1",preference,3,506
q22125,Do you prefer?,Slim Men/Women,Average Men/Women,Fuller Figured Men/Women,I Don't Care/Not Fussy,25779,M,[4],preference,2,507
q22122,How long would you have to talk to someone online before you felt comfortable to meet?,I'd meet right away if their profile were cool,A few days,A few weeks,A few months [or never],34086,O,,preference,3,508
q22021,Is your ideal match well-off financially (or at the very least someone who has high income potential)?,"Yes, it's very important.",It's somewhat important.,It's not very important,It's not important at all.,33917,O,,preference,4,509
q21986,"Do you typically speak and write in a clear, precise manner?","Yes, almost always.","Yes, but only for classes/work.",It depends on my mood.,"Ha, my language is vague and messy.",24824,O,,descriptive,2,510
q21793,"How often do you try new things (food, activities, music, whatever) that you've never tried before?","Several times per week, or more.",Several times per month.,Several times per year.,Rarely or never.,28351,O,,descriptive,3,511
q21754,What is your opinion concerning strip clubs?,I would be there every day of the week if I could.,They can be fun every once and a while.,I do not really have an opinion/never been to one.,They're gross/disgusting/insulting/other.,28674,O,,preference; opinion,3,512
q21411,"Do you enjoy intellectual debates on topics like politics, religion, science or philosophy?",I love to argue!,Sometimes.,It's usually boring or annoying.,I'm not smart enough.,34498,M,[4],preference; cognitive,3,513
q33170,"If/when you have NO pressing obligations (employment, schooling, children, errands, bedtime, or other factors aside), at what time do you prefer to get up in the morning?",Early bird gets the worm! I'm up before the sun!,Pretty Early (6:00ish - 9:30ish AM),I like to sleep in a bit. (9:30ish AM - Noonish),Morning? Curse that AM light! (afternoon or dark),27163,O,,descriptive,2,514
q32973,Are you an adventurous eater? Do you like to try new foods and ethnic cuisines?,"Yes, all the time.","Yes, if it's not too strange.",On rare occasions/I don't know.,"No, yuck.",33661,O,,descriptive,2,515
q32855,Underarms can be a hairy subject. How do you maintain your pits?,"I let it grow, wild & free!",Occasionally I'll trim.,I shave consistently.,Whatever I feel like at the time.,27844,O,,descriptive,1,516
q1122,How often do you use profane language?,Never,Once in a while,Often,Almost always,26641,O,,descriptive,3,517
q1028,Is your ideal sex rough or gentle?,Rough,Gentle,I enjoy both equally,I'm a virgin,37097,M,"2, 3, 1, [4]",sex/intimacy,1,518
q997,Are you a cat person or a dog person?,Cats,Dogs,Both,Neither,54746,N,,preference,2,519
q17342,"On a typical night, what time do you go to sleep?",By 9pm,By 11pm,By 1am,Later,24309,O,,descriptive,3,520
q1588,Do you like cats?  Would you consider owning a cat as a pet?,"Yes, I would love (or do own) a cat.","I'm not too into them, but I wouldn't mind one.","No, I dislike cats.","I like them, but I'm allergic.",30160,N,,preference; descriptive,2,521
q13136,How important is art in your daily life?,Very Important,Somewhat Important,Not Important,I don't care,24839,M,[4],preference; descriptive,2,522
q1712,How shy would you say you are?,Very shy,Kind of shy,Not really shy,Not at all shy,28992,O,,descriptive,2,523
q31920,How do you feel about age differences in relationships?,I prefer someone close to my own age,I prefer someone older,I prefer someone younger,Doesn't matter to me,33749,M,"2, 1, 3, [4]",preference,3,524
q31898,How do you feel about zoos?,I think they're lots of fun!,"Sure, they're fine.","Those poor, locked-up animals!",Zoos are boring.,24073,O,,preference; opinion,2,525
q31840,I prefer to sleep:,Alone,"With my partner, but apart (not touching)",Touching my partner,Embracing / cuddling my partner,39117,O,,sex/intimacy,1,526
q31821,Do you think the government should limit big chain stores to give small businesses a chance?,Yes,No,Maybe,Don't know/Don't care,24984,O,"2, (3, 4), 1",politics,4,527
q31374,"Have you ever tried any sexual roleplaying, such as student/teacher or patient/nurse?",All the time. It really turns me on!,"Yes, on occasion. I have to be in the mood.","No, but it sounds interesting.","No, and it isn't going to happen. Ever.",29214,O,,sex/intimacy,1,528
q30830,"Would you do something outrageous, stupid or adventurous simply because it would make a good story to tell later? (Assume there would be no serious consequences to your actions.)","Yes, whenever possible.","Yes, but nothing too crazy.","Maybe, depends on what and who with.","No, and please don't run with scissors.",26945,O,,preference; descriptive,2,529
q30416,'Your a bitch!' What bothers you more about the above sentence?,The profanity,The grammar,They both bother me equally,Neither one bothers me,32676,O,"3, (1, 2), 4",descriptive,3,530
q30384,How often do you wash your dishes?,As I use them.,Daily.,When I run out of clean utensils.,When the sink starts to smell funny.,28082,O,,descriptive,2,531
q30169,Do you enjoy giving oral sex?,Love it!,It's okay.,Not so much.,Gross!,33482,O,,sex/intimacy,2,532
q29829,How often do you keep your promises?,Always,Whenever possible,Usually,When convenient,49564,O,,descriptive,3,533
q19125,Are you concerned with your image and the way others perceive you?,Very Much So,"Often, yes",A little bit,Not at all / I hate the mainstream,23440,O,,descriptive,3,534
q18979,"If you found out your partner was cheating on you, would you cheat on them in revenge?","Yes, they have it coming!","No, I'd confront them.","No, I'd dump them on the spot.","Maybe, if one of their friends is cute.",28233,O,"3, 2, 4, 1",sex/intimacy; preference,3,535
q18797,"Would you - for any reason - read your mate's email or pose as him/her online, without his/her knowledge and permission?","Yes, they shouldn't be keeping secrets anyway.","Yes, I'd be too curious not to.",Only if I suspected them of something.,"No, I'd trust them and that would be invasive.",38006,O,,preference,4,536
q17778,Are you a beer snob?,Yes,No,"Not usually, but some beers I won't touch.",I don't drink.,25582,M,"2, 3, 1, [4]",descriptive,2,537
q1128,Would you date someone who was already in a committed relationship with someone else?,"Yes, even in secret.","Yes, but only if everybody knew.","No, but I don't think it's inherently wrong.","No, it's wrong.",34032,N,,sex/intimacy; preference,4,538
q29815,What do you think of reality television?,I love it!,It's alright.,I dislike it.,I have no opinion on reality television,23291,O,"3, 4, 2, 1",preference,2,539
q29389,I talk about my previous relationships:,All the time,Occasionally,"Almost never, unless explicitly asked about them.","Never, even if explicitly asked about them.",26617,O,,descriptive,3,540
q29384,Would you allow your partner to kiss you after performing oral sex on you?,Allow? I enjoy it.,Yes.,No.,It depends.,34342,O,,sex/intimacy,2,541
q29055,How do you feel about living with a signficant other before marriage?,Nothing wrong with that.,"Maybe, depending on the situation.",I'm against that.,I'm not sure.,24121,O,"3, (2, 4), 1",religion/superstition; opinion,4,542
q28545,"When having sex, do you like to have your hair pulled?","Yes, and hard!","Yes, but gently.",No way.,Don't know / Not sure.,28751,O,"3, 4, 2, 1",sex/intimacy,1,543
q26720,How much do you spend per year for shoes?,Less than $100,$101 - $ 500,$501- $1000,More than a $1000,28570,O,,descriptive,2,544
q26573,Do you like going to poetry readings?,Yes,Sometimes,Occasionally / I'd try it,No,29254,O,,preference,2,545
q26405,Is it easy for you to achieve orgasm?,"Yes, with skill and sometimes patience","Yes, any time the wind picks up","No, and I find it somewhat frustrating","No, but don't worry, I'm enjoying myself",27131,O,,sex/intimacy; descriptive,1,546
q26299,"What haircolor, or shade, do you prefer?","Dark (Black, Brown, Auburn)","Light (Blonde, Light Brown, Red)","Other (Neon, Obviously Dyed)",I have no preference,27402,N,,preference,2,547
q30723,Which is the greatest compliment you could receive?,That you are beautiful/sexy/hot,That you are intelligent,That you are talented,That you are extremely fun to be with,25230,N,,preference; descriptive,2,548
q30207,Is love overrated?,"Yes, absolutely.","Yes, a bit.","No, it's fine.","No, it's underrated.",29060,O,,opinion,2,549
q28754,How long do you believe people need to be in a relationship before before getting married?,At least 2 years,At least 1 year,At least 6 months,Less than 6 months / no requirement,27565,O,,opinion,3,550
q274,What's the highest level of education you've completed?,Graduate School,College,High School,Junior High,31706,O,,descriptive,5,551
q21488,Do you pick up after yourself? Be honest.,Always.,"Yeah, when I have the time.","No, I live in filth.","No, my mom/roommate/partner mostly does it for me.",30108,O,"(3, 4), 2, 1",descriptive,2,552
q542,Roughly how many books have you read in the past year?,Less than five,Between five and fifteen,Between sixteen and fifty,Fifty or more,25710,O,,descriptive,4,553
q979,How many children would you ideally like to have?,,1-2,3-4,5 or more!,36507,O,,sex/intimacy; preference,4,554
q887,"Do you enjoy crude humor, dirty jokes, and the like?","Yes, and I often try to push the boundaries!","Usually, yes.","Not in most cases, no.",Absolutely not at all.,31593,O,,preference,2,555
q35355,How open are you to trying new things in bed?,Very open. I'll try anything once.,"I'm open, but I don't get too crazy.","Hesitant, but it might happen.",Not at all.,40231,O,,sex/intimacy,2,556
q34517,"Do you enjoy dark, violent, or disturbing music?",Yes,No,When I'm in the mood.,Unsure,25250,O,"1, 3, 4, 2",descriptive; preference,2,557
q33602,"Do you attempt to conserve water, energy or other resources during your everyday life?","Yes, almost always",Sometimes,"No, I don't care","No, it's my right to waste as much as I want",29187,O,,descriptive; preference,4,558
q31983,Star Wars or Star Trek?,Star Wars,Star Trek,I can't decide.,Neither!,26787,M,"2, 3, 1, [4]",preference,1,559
q265,Who do you think was smartest on this list?,Einstein,Shakespeare,Mozart,Jesus,29398,N,,opinion,3,560
q218,Should prostitution be legal?,"Yes, absolutely","Yes, only if it were regulated",I don't think so,ABSOLUTELY NOT,25694,O,,politics; religion/superstition,4,561
q25734,What is the farthest you have/would go in a game of strip poker?,Underwear,Topless,All the way,Wouldn't even be playing.,23523,O,"4, 1, 2, 3",preference; descriptive,1,562
q25561,Does it bother you when people say 'PIN number' or 'ATM machine'?,Yes!,"Well, a little","Nope, but I see why you're asking",Why would it?,27944,O,,preference; cognitive,2,563
q25114,Which event sounds most appealing?,Sci-Fi Convention,Political Convention,Music Festival,New Years Eve in Times Square,31558,N,,preference; opinion,3,564
q24684,Do you carry condoms?,Always,Sometimes,Rarely,Never,27680,O,,sex/intimacy; descriptive,2,565
q24375,"Say you've started seeing someone you really like. As far as you're concerned, how long will it take before you have sex?",1-2 dates,3-5 dates,6 or more dates,Only after the wedding,51072,O,,sex/intimacy; religion/superstition; preference,3,566
q24345,How much can intelligence turn you on?,A lot!,A bit.,Intelligence does nothing for me either way.,Intelligence turns me off.,48225,O,,preference; cognitive,2,567
q23993,"In terms of sex, how experienced would your ideal mate be (with people other than you)?",Innocent (Virgin),Slightly Experienced,Moderately Experienced,Very Experienced,34518,O,,sex/intimacy,2,568
q23954,Do you ever feel the need to get really drunk?,Often,Sometimes,Rarely,Never,25432,O,,descriptive,2,569
q23696,"When you are angry or frustrated, do you ever throw, smash, kick, hit inanimate objects (non-living things)?","Yes, frequently",Sometimes,"Used to, but not any more",Never,33272,O,,descriptive,3,570
q23618,How important is it to you to have your own unique 'thing' (like a weekly Girls' Night Out or Guys' Movie Night) that you don't share with your partner(s)?,Very - I need some ME time to be happy,Sort of - I need friends outside of my partner,Not much - I like sharing stuff with my partner,I'd prefer not to have exclusive things,25612,O,,preference,2,571
q23543,"Is it a requirement that you communicate every day with your significant other (via phone, text, in person, whatever)?","Yes, no matter what","Yes, unless otherwise specified","No, it's not necessary","No, I'd prefer not to communicate daily",48633,O,,preference,3,572
q23389,You're out on the street and you encounter some people speaking a foreign language. What's your reaction?,"You're in our country, speak our language!",No big deal.,"Cool, what language are they speaking?","(in their language) Hi, how are you?",23050,O,,preference,4,573
q41,How important is religion/God in your life?,Extremely important,Somewhat important,Not very important,Not at all important,54140,O,,religion/superstition,5,574
q77,How frequently do you drink alcohol?,Very often,Sometimes,Rarely,Never,52467,O,,descriptive,4,575
